column,country, points, history
1,iran, 12, With over 81 million inhabitants Iran is the world 18th most populous country
2,usa, 10, Iran also called Persia and officially known as the Islamic Republic of Iran  is a country in Western Asia
3,usa, 3, The United States embarked on a vigorous expansion across North America throughout the 19th century
4,iran, 4,  Iran is bordered to the northwest by Armenia and the Republic of Azerbaijan to the north
5,usa, 5, During the second half of the 19th century the Civil War led to the abolition of slavery
6,usa, 6, Sweeping civil rights legislation
7,iran, 2, Tehran is the country  capital and largest city  as well as its leading economic and cultural center
8,usa, 12, Cold War and the collapse of the Soviet Union in 1991 left the United States
9,usa, 21, The United States is the foremost military power in the world
10,england, 10, England terrain is chiefly low hills and plains especially in central and southern England
11,canada, 4, Canada is a parliamentary democracy and a constitutional monarchy with Elizabeth II as its queen and an elected prime minister
12,canada, 12, Canada climate varies widely across its vast area
13,canada, 1, Canada is a country in the northern part of North America.
14,japan, 1, Archaeological research indicates that Japan was inhabited as early as the Upper Paleolithic period
15,japan, 4, The kanji that make up Japan name mean sun origin
16,japan, 9, Japan is a stratovolcanic archipelago consisting of about 6852 islands
17,japan, 2, Japan entered into a long period of isolation in the early 17th century
